id_punto,punto,geocerca_skp,geocerca_fastrack,latitud,longitud,direccion,fecha_hora_registro
1,N/A,0000,0,0,0,0,"2014-08-29 16:29:55"
2,"Av. Eugenio Espejo",0101,1,-3.993765,-79.211888,P1,"2014-08-29 16:29:55"
3,"El Bosque",0102,2,-3.97926088,-79.208,P2,"2014-08-29 16:29:55"
4,"Puente Lea",0103,3,-3.990774,-79.205139,P3,"2014-08-29 16:29:55"
5,"Motupe salida",0104,4,-3.94273,-79.2265,P4,"2014-08-29 16:29:55"
6,"Motupe despacho",0105,5,-3.94172,-79.2274,P5,"2014-08-29 16:29:55"
7,"Desvio escomil",0106,6,-3.94841,-79.2214,P6,"2014-08-29 16:29:55"
8,"La gallera",0107,7,-3.94883183,-79.2221088,P7,"2014-08-29 16:29:55"
9,"Escuela Damerval A.",0108,8,-4.012842,-79.2059185,P8,"2014-08-29 16:29:55"
10,"Entrada Esteban G.",0109,9,-4.0242033,-79.20622133,P9,"2014-08-29 16:29:55"
11,"Salvador Bustamante",010A,10,-3.95495,-79.2147,P10,"2014-08-29 16:29:55"
12,Chuquiribamba,0201,11,-3.9578,-79.2204,P11,"2014-08-29 16:29:55"
13,Carigan,0202,12,-3.95281,-79.2512,P12,"2014-08-29 16:29:55"
14,Zoologico,0203,13,-3.9603994,-79.21610351,P13,"2014-08-29 16:29:55"
15,"Inglesia Divino Nino",0204,14,-4.01063,-79.215462,P14,"2014-08-29 16:29:55"
16,"Mayorista Bajada",0205,15,-3.9885518034421,-79.203164895823,P15,"2014-08-29 16:29:55"
17,"Desvio Carigan",0206,16,-3.96031,-79.2403,P16,"2014-08-29 16:29:55"
18,"Redondel Carigan",0207,17,-3.96106,-79.2386,P17,"2014-08-29 16:29:55"
19,"El Paraiso",0208,18,-3.9694902,-79.194424,P18,"2014-08-29 16:29:55"
20,"Bello Horizonte (Puente Zhuzhuhuayco)",0209,19,-3.983879019,-79.213212,P19,"2014-08-29 16:29:55"
21,"Jaime Roldos",020A,20,-3.9676214258397,-79.206202857637,P20,"2014-08-29 16:29:55"
22,"Cruce de Rutas",0301,21,-3.97013,-79.2094,P21,"2014-08-29 16:29:55"
23,"Las Pitas",0302,22,-3.9708815,-79.215079,P22,"2014-08-29 16:29:55"
24,"Calle Guayaquil y Av. Orillas del Zamora",0303,23,-3.98156723,-79.20253031,P23,"2014-08-29 16:29:55"
25,"Via a Cuenca",0304,24,-3.9700057814537,-79.225745541,P24,"2014-08-29 16:29:55"
26,"Rio Marañon",0305,25,-4.0044766823,-79.18949316,P25,"2014-08-29 16:29:55"
27,"Av. Integracion",0306,26,-3.98117828,-79.23350921,P26,"2014-08-29 16:29:55"
28,"Borja Despacho",0307,27,-3.97934,-79.2238,P27,"2014-08-29 16:29:55"
29,"Parada Borja",0308,28,-3.98082,-79.222,P28,"2014-08-29 16:29:55"
30,Borja,0309,29,-3.97945,-79.2124,P29,"2014-08-29 16:29:55"
31,"Isidro Ayora",030A,30,-4.014805952,-79.21854983,P30,"2014-08-29 16:29:55"
32,"Feria de Carros",0401,31,-3.97727,-79.2065,P31,"2014-08-29 16:29:55"
33,"Terminal N",0402,32,-3.9762007030112,-79.20472682209,P32,"2014-08-29 16:29:55"
34,"Via a Punzara",0403,33,-4.04014,-79.2074,P33,"2014-08-29 16:29:55"
35,"Terminal Terrestre",0404,34,-3.977825351495,-79.204542915344,P34,"2014-08-29 16:29:55"
36,"AV. Orillas del Zamora",0405,35,-3.9764705,-79.2021477,P35,"2014-08-29 16:29:55"
37,"Av. Oriental",0406,36,-3.97755,-79.2,P36,"2014-08-29 16:29:55"
38,"San Cayetano",0407,37,-3.977735,-79.19781833333333,P37,"2014-08-29 16:29:55"
39,"La Y",0408,38,-3.98242,-79.1998,P38,"2014-08-29 16:29:55"
40,Virgenpamba,0409,39,-3.94207267,-79.20602583,P39,"2014-08-29 16:29:55"
41,"Calle Guayaquil",040A,40,-3.9811764852695,-79.202943673611,P40,"2014-08-29 16:29:55"
42,"El Valle",0501,41,-3.9812,-79.204485830688,P41,"2014-08-29 16:29:55"
43,"Entre integración y Bolonia",0502,42,-3.98952,-79.2364,P42,"2014-08-29 16:29:55"
44,"Entrada Borja",0503,43,-3.9838492970884,-79.213694635582,P43,"2014-08-29 16:29:55"
45,"Lojana de Turismo",0504,44,-3.985,-79.206032,P44,"2014-08-29 16:29:55"
46,"P. Villonaco",0505,45,-3.9872462141674,-79.20538046627,P45,"2014-08-29 16:29:55"
47,"Reten Bolonia",0506,46,-3.99747546,-79.23624251,P46,"2014-08-29 16:29:55"
48,"Despacho Ciudad Victoria",0507,47,-4.0012115677861,-79.233735626984,P47,"2014-08-29 16:29:55"
49,"Salida Ciudad Victoria",0508,48,-4.00047,-79.2315,P48,"2014-08-29 16:29:55"
50,"Puente Bolivar",0509,49,-3.990164649,-79.2053751,P49,"2014-08-29 16:29:55"
51,"Puerta de la ciudad",050A,50,-3.9884242171154,-79.203325480986,P50,"2014-08-29 16:29:55"
52,"24 de Mayo",0601,51,-3.99553,-79.1982,P51,"2014-08-29 16:29:55"
53,"El triangulo",0602,52,-3.9945628110897,-79.199342915345,P52,"2014-08-29 16:29:55"
54,"Parque Bolivar",0603,53,-3.9951885944723,-79.205416093254,P53,"2014-08-29 16:29:55"
55,Bolonia,0604,54,-3.990659227,-79.24543619,P54,"2014-08-29 16:29:55"
56,"M. Pequenio Productor",0605,55,-3.9718273952945,-79.210605022129,P55,"2014-08-29 16:29:55"
57,Lourdes,0606,56,-4.0022877627714,-79.198679920849,P56,"2014-08-29 16:29:55"
58,"Pinto y 10 de Agosto",0607,57,-3.997305654,-79.20663,P57,"2014-08-29 16:29:55"
59,Tomeno,0608,58,-3.99816187,-79.21149015,P58,"2014-08-29 16:29:55"
60,"Reloj Bolonia",0609,59,-3.99843,-79.2205,P59,"2014-08-29 16:29:55"
61,Punzara,060A,60,-4.0484933,-79.21188716,P60,"2014-08-29 16:29:55"
62,"Despacho Tierras Coloradas",0701,61,-4.0128,-79.2419,P61,"2014-08-29 16:29:55"
63,"Jacinto de Evia y Av. Villonaco",0702,62,-3.99950364,-79.22786861,P62,"2014-08-29 16:29:55"
64,"Dos Puentes",0703,63,-4.0784265,-79.19640083,P63,"2014-08-29 16:29:55"
65,"Los Rosales",0704,64,-4.022968,-79.198861,P64,"2014-08-29 16:29:55"
66,"Reloj Tierras Coloradas",0705,65,-4.01591,-79.2351,P65,"2014-08-29 16:29:55"
67,Desvio,0706,66,-4.0148,-79.2233,P66,"2014-08-29 16:29:55"
68,"Redondel Epoca",0707,67,-4.01149764,-79.21447004,P67,"2014-08-29 16:29:55"
69,"Coop. Loja",0708,68,-3.99842,-79.2059,P68,"2014-08-29 16:29:55"
70,"Parque Central",0709,69,-3.997387621,-79.20506093,P69,"2014-08-29 16:29:55"
71,"La Indepenencia",070A,70,-4.0011018041429,-79.20470268221,P70,"2014-08-29 16:29:55"
72,Mercadillo,0801,71,-4.00148668,-79.20596207,P71,"2014-08-29 16:29:55"
73,Estadio,0802,72,-4.0021,-79.1963,P72,"2014-08-29 16:29:55"
74,"Ramon Pinto y Azuay",0803,73,-4.0005469253758,-79.206243548965,P73,"2014-08-29 16:29:55"
75,"Valdiviezo y Catacocha",0804,74,-4.004044053,-79.20075708,P74,"2014-08-29 16:29:55"
76,"Los Paltas",0805,75,-4.00373,-79.2041,P75,"2014-08-29 16:29:55"
77,"Ramon Pinto (Perpetuo Socorro)",0806,76,-4.00374368,-79.20585172,P76,"2014-08-29 16:29:55"
78,Coliseo,0807,77,-4.00359377,-79.20447747,P77,"2014-08-29 16:29:55"
79,"Tras del Coliseo",0808,78,-4.0067671895504,-79.20537317791,P78,"2014-08-29 16:29:55"
80,"Julio Ordonez",0809,79,-4.03921933,-79.20523316,P79,"2014-08-29 16:29:55"
81,"Y de Sauces",080A,80,-3.9385983837651,-79.225948602719,P80,"2014-08-29 16:29:55"
82,"Redondel Tebaida",0901,81,-4.012384529,-79.20446589,P81,"2014-08-29 16:29:55"
83,Podocarpus,0902,82,-4.01085,-79.2029,P82,"2014-08-29 16:29:55"
84,Pradera,0903,83,-4.010605785,-79.20113026,P83,"2014-08-29 16:29:55"
85,"Redondel Soldado",0904,84,-4.01352,-79.2012,P84,"2014-08-29 16:29:55"
86,"Zamora Huaico Llegada",0905,85,-4.00938,-79.1862,P85,"2014-08-29 16:29:55"
87,"Zamora Huaico Salida",0906,86,-4.01014,-79.1852,P86,"2014-08-29 16:29:55"
88,"Ciudad Alegria",0907,87,-4.03082217,-79.2068375,P87,"2014-08-29 16:29:55"
89,Kingman,0908,88,-4.02476929,-79.19986,P88,"2014-08-29 16:29:55"
90,"Canchas (Pio Jaramillo)",0909,89,-4.02433,-79.203157084656,P89,"2014-08-29 16:29:55"
91,"Laguna (Daniel Alvarez)",090A,90,-4.01674366,-79.20908483,P90,"2014-08-29 16:29:55"
92,"Redondel Somec",0A01,91,-4.020385415,-79.21705708,P91,"2014-08-29 16:29:55"
93,"Somec Despacho",0A02,92,-4.02358,-79.2174,P92,"2014-08-29 16:29:55"
94,Parada,0A03,93,-4.02064,-79.2235,P93,"2014-08-29 16:29:55"
95,Colinas,0A04,94,-4.01889,-79.2247,P94,"2014-08-29 16:29:55"
96,"Fin Somec",0A05,95,-4.02515,-79.2175,P95,"2014-08-29 16:29:55"
97,"Heroes del Cenepa",0A06,96,-4.02973,-79.2092,P96,"2014-08-29 16:29:55"
